RA,DEC,u,g,r,i,z,redshift,Filename
133.410484266624,37.3526854404124,20.37412,18.43065,17.48223,17.05733,16.77052,0.1038776,data/sdss\SDSS_galaxy00.jpg
132.631844719066,31.0923785552263,20.72427,18.91892,17.55565,17.03991,16.70897,0.2410085,data/sdss\SDSS_galaxy01.jpg
148.320466412182,54.541001758474,20.11238,18.15816,16.82867,16.34992,16.00213,0.2149424,data/sdss\SDSS_galaxy02.jpg
131.71846223661,35.7314785139576,19.15211,17.73698,17.07174,16.73274,16.53992,0.085522,data/sdss\SDSS_galaxy03.jpg
147.346016902605,7.18877130685615,20.60811,18.6341,17.60214,17.18304,16.81255,0.128056,data/sdss\SDSS_galaxy04.jpg
170.065796672354,47.027546217129,18.37774,17.60132,17.34559,17.25175,17.15553,0.01748719,data/sdss\SDSS_galaxy05.jpg
186.84381085956,-0.868945969546314,18.71434,17.91155,17.76296,17.63523,17.52322,0.04054479,data/sdss\SDSS_galaxy06.jpg
155.591775537535,33.3254272432571,19.72243,18.37885,17.57736,17.04779,16.73662,0.127572,data/sdss\SDSS_galaxy07.jpg
149.3904581839,34.5165157378382,19.69246,18.04178,17.20672,16.81213,16.52075,0.08667465,data/sdss\SDSS_galaxy08.jpg
172.385368250696,56.2506777041881,19.56854,17.73019,16.8818,16.4916,16.19801,0.05923124,data/sdss\SDSS_galaxy09.jpg
236.225377169802,11.5427520058831,19.72584,18.33509,17.49387,17.07075,16.77435,0.1578901,data/sdss\SDSS_galaxy10.jpg
179.562670771833,38.2248950306974,20.34228,18.23559,17.08555,16.642,16.30689,0.1587034,data/sdss\SDSS_galaxy11.jpg
238.667085847606,52.8492948216641,20.16008,18.3554,17.36571,16.78556,16.44331,0.06667211,data/sdss\SDSS_galaxy12.jpg
326.526368885385,-1.25467154681855,20.59804,18.60485,17.41784,16.94042,16.5943,0.1610287,data/sdss\SDSS_galaxy13.jpg
236.161725422964,5.13263789902361,18.83517,17.56725,17.17362,16.91213,16.73168,0.03896382,data/sdss\SDSS_galaxy14.jpg
146.675177693366,0.278012693884857,22.23087,19.59246,18.06994,17.41839,17.02761,0.2071741,data/sdss\SDSS_galaxy15.jpg
174.27664298079,14.1368532206199,19.41098,18.18083,17.70431,17.43328,17.24054,0.05389032,data/sdss\SDSS_galaxy16.jpg
225.103650088841,39.9274383966067,20.30203,18.57157,17.616,17.18254,16.85751,0.1093315,data/sdss\SDSS_galaxy18.jpg
351.871836434175,-10.8763806416116,18.38762,16.4447,15.51311,15.07212,14.72398,0.08407746,data/sdss\SDSS_galaxy19.jpg
202.217310213074,36.822619590798,20.06529,18.10878,16.91996,16.45084,16.10265,0.1710003,data/sdss\SDSS_galaxy20.jpg
117.962647999392,22.404916315014,20.46508,18.8915,17.88324,17.43528,17.17891,0.2394966,data/sdss\SDSS_galaxy21.jpg
236.710857883824,2.8002815015,21.58619,19.26494,17.91429,17.38236,16.95725,0.2017372,data/sdss\SDSS_galaxy22.jpg
241.934668009596,8.96441939985432,18.84798,17.81555,17.2731,16.89172,16.72002,0.1023066,data/sdss\SDSS_galaxy23.jpg
118.048358874662,15.4528035692677,19.57204,17.5955,16.67687,16.23716,15.90763,0.05061773,data/sdss\SDSS_galaxy24.jpg
208.047764689839,23.4810352862463,18.90995,17.5036,16.77019,16.39517,16.12857,0.06335876,data/sdss\SDSS_galaxy25.jpg
226.780807736999,7.36342218286344,19.48805,17.6142,16.73279,16.3115,15.98811,0.07970452,data/sdss\SDSS_galaxy26.jpg
163.709731357841,20.1442013215908,19.73527,18.39646,17.50473,17.13923,16.82321,0.11581,data/sdss\SDSS_galaxy27.jpg
158.917023495097,25.0529239720381,20.7733,18.89029,17.68682,17.20122,16.83117,0.1777526,data/sdss\SDSS_galaxy28.jpg
143.901147023913,23.3815313442005,20.39273,18.47965,17.17214,16.67809,16.32852,0.2064836,data/sdss\SDSS_galaxy29.jpg
213.155405618864,24.9047046914672,20.22667,18.2718,17.07416,16.59616,16.22736,0.1627147,data/sdss\SDSS_galaxy30.jpg
168.178837729658,2.39314655869861,18.68193,16.8091,15.89899,15.50117,15.14023,0.07894897,data/sdss\SDSS_galaxy31.jpg
353.191810394158,-10.9620813550195,19.80477,18.70423,18.01426,17.5639,17.31128,0.1144971,data/sdss\SDSS_galaxy32.jpg
133.596310478186,56.3376643522211,21.1392,18.74258,17.62569,17.19403,16.81483,0.1323723,data/sdss\SDSS_galaxy33.jpg
226.436575182999,5.68607595335962,19.8661,18.05899,17.20279,16.80831,16.47382,0.07875828,data/sdss\SDSS_galaxy34.jpg
4.6235565357137,1.24562688220452,19.29682,18.05433,17.44197,17.04842,16.82733,0.08850243,data/sdss\SDSS_galaxy35.jpg
31.0628124500282,12.7795607930875,20.06903,18.58198,17.75258,17.32681,16.98716,0.1118061,data/sdss\SDSS_galaxy36.jpg
245.164064912467,42.3651347710493,19.15846,17.43922,16.43991,15.99046,15.64093,0.1381178,data/sdss\SDSS_galaxy37.jpg
177.742321501688,63.2321722786158,19.49174,17.70833,16.76239,16.4126,16.12544,0.1446103,data/sdss\SDSS_galaxy38.jpg
187.949349575115,38.8400450330247,21.12564,18.85544,17.59499,17.10078,16.78468,0.1900112,data/sdss\SDSS_galaxy39.jpg
218.884809880541,31.5558615400233,18.39392,17.21329,16.78131,16.50579,16.33399,0.06002347,data/sdss\SDSS_galaxy40.jpg
136.465746230988,37.9558838054899,19.31986,18.27058,17.56823,17.17535,16.92587,0.1982036,data/sdss\SDSS_galaxy41.jpg
112.335294255723,44.7616293311509,20.54371,18.91383,17.92798,17.37704,17.03764,0.1279113,data/sdss\SDSS_galaxy42.jpg
148.158244379703,18.1560435591963,19.02237,17.14911,16.29712,15.88799,15.58892,0.07003929,data/sdss\SDSS_galaxy43.jpg
182.432449272565,17.7340587837917,19.73607,18.28522,17.2391,16.75934,16.43056,0.1483966,data/sdss\SDSS_galaxy44.jpg
205.489068967439,31.6499787420872,19.20284,17.36477,16.56942,16.19716,15.91021,0.06025727,data/sdss\SDSS_galaxy45.jpg
164.446274507089,19.6433428136182,19.70302,17.90331,16.86736,16.43211,16.10429,0.1335149,data/sdss\SDSS_galaxy46.jpg
16.564132607792,15.426887436254,20.06399,18.06402,16.93939,16.46267,16.06732,0.1467337,data/sdss\SDSS_galaxy47.jpg
177.657348460869,51.5073982027327,19.20024,17.29498,16.37685,15.98817,15.65791,0.08435971,data/sdss\SDSS_galaxy48.jpg
145.648215293677,17.5612025170163,20.22926,18.16757,17.00046,16.50159,16.15674,0.1618328,data/sdss\SDSS_galaxy49.jpg
120.055466460401,14.9157104768135,21.00512,18.66996,17.31719,16.80719,16.49615,0.1995033,data/sdss\SDSS_galaxy50.jpg
121.827504470602,19.0079688735544,20.39929,18.5484,17.46053,16.9749,16.58799,0.1665834,data/sdss\SDSS_galaxy51.jpg
178.147548236604,31.5996867849273,20.21381,18.44132,17.59209,17.22851,16.94404,0.0784868,data/sdss\SDSS_galaxy52.jpg
218.930383427658,52.3346234668961,19.24799,17.22939,16.20598,15.75149,15.40647,0.1054595,data/sdss\SDSS_galaxy53.jpg
340.131225575283,14.5348044563541,20.27478,18.24862,17.16679,16.70081,16.28618,0.1156673,data/sdss\SDSS_galaxy54.jpg
187.905804828559,50.7048058205105,17.37531,15.44188,14.59114,14.17787,13.86117,0.03053906,data/sdss\SDSS_galaxy55.jpg
140.542470215686,53.503272487806,20.54871,18.57399,17.19641,16.6615,16.31824,0.2192985,data/sdss\SDSS_galaxy56.jpg
182.167045716237,28.7653927442561,19.73826,18.46272,17.79223,17.38358,17.1705,0.08088724,data/sdss\SDSS_galaxy57.jpg
255.292304896811,39.1665132753683,19.10799,17.13851,16.19941,15.75626,15.4106,0.0823813,data/sdss\SDSS_galaxy58.jpg
202.641900196566,1.71975673963776,19.63342,17.4747,16.56566,16.04217,15.79432,0.1075272,data/sdss\SDSS_galaxy59.jpg
207.151444137345,-3.22572226441311,20.33375,18.70643,17.56598,17.04793,16.73411,0.2009871,data/sdss\SDSS_galaxy60.jpg
208.060744656317,2.35955331177482,17.03159,15.47617,14.68527,14.26527,13.97238,0.02371047,data/sdss\SDSS_galaxy61.jpg
136.68854142688,14.2508367167663,19.83581,17.73534,16.67798,16.21658,15.87108,0.1150616,data/sdss\SDSS_galaxy62.jpg
124.876000273809,7.71300890651607,21.38107,18.84163,17.44098,16.94113,16.601,0.2231511,data/sdss\SDSS_galaxy63.jpg
201.624727308833,6.57821912629105,20.98239,18.84827,17.68662,17.23599,16.88903,0.1606898,data/sdss\SDSS_galaxy64.jpg
154.963550015921,52.1307966331651,18.71198,17.39193,16.70094,16.33171,16.08802,0.0653263,data/sdss\SDSS_galaxy65.jpg
168.083926944774,14.6196066811736,20.05229,18.53296,17.51093,17.04719,16.7326,0.1797219,data/sdss\SDSS_galaxy66.jpg
210.086061696057,-2.86605411850922,18.70679,17.13469,16.41111,16.02026,15.71567,0.02540394,data/sdss\SDSS_galaxy67.jpg
237.688023974246,45.9488794527485,19.7008,18.06375,16.98239,16.52317,16.16695,0.1678589,data/sdss\SDSS_galaxy68.jpg
221.075126218016,46.1714970357806,19.04332,18.1005,17.74632,17.47284,17.38646,0.1175415,data/sdss\SDSS_galaxy69.jpg
203.642633354853,-2.16480112698639,20.13162,18.3748,17.46964,17.04776,16.71028,0.09151977,data/sdss\SDSS_galaxy70.jpg
178.895980637358,12.8623400119538,19.30929,17.41811,16.35387,15.91899,15.57738,0.1220587,data/sdss\SDSS_galaxy71.jpg
23.8629449580594,-10.6607280985401,18.36074,17.23015,16.67136,16.29203,16.11729,0.1269298,data/sdss\SDSS_galaxy72.jpg
250.137426853299,46.7792110167515,21.23799,19.12914,17.7435,17.25261,16.89623,0.222533,data/sdss\SDSS_galaxy73.jpg
147.910687658337,32.8696840492895,18.75173,17.19214,16.4342,16.0424,15.77927,0.08523913,data/sdss\SDSS_galaxy74.jpg
139.845769338112,6.46381206693472,19.4069,17.43608,16.5696,16.13058,15.81655,0.0622212,data/sdss\SDSS_galaxy75.jpg
200.008032971579,17.3102085929438,20.23454,18.29524,17.34187,16.90826,16.55289,0.08751198,data/sdss\SDSS_galaxy76.jpg
214.892453996877,13.9358962761542,21.37013,19.27981,17.98724,17.50411,17.18629,0.1958818,data/sdss\SDSS_galaxy77.jpg
213.352532860382,58.0245234076442,19.32556,17.56461,16.7161,16.26716,15.92834,0.07353528,data/sdss\SDSS_galaxy78.jpg
172.557898375538,59.9804456121902,17.38555,15.49212,14.60051,14.19781,13.89542,0.06093692,data/sdss\SDSS_galaxy79.jpg
201.918308153439,15.8492506219084,19.83979,17.93206,16.99511,16.55843,16.25213,0.07377935,data/sdss\SDSS_galaxy80.jpg
225.301765587385,11.386029373542,20.52763,18.67215,17.43675,16.96094,16.60099,0.1688595,data/sdss\SDSS_galaxy81.jpg
165.526123427043,66.8977051269433,20.40046,18.25082,17.00666,16.49131,16.16529,0.1907964,data/sdss\SDSS_galaxy82.jpg
324.176719208305,-6.7122109591885,18.5723,16.70177,15.78919,15.35558,15.03993,0.05765465,data/sdss\SDSS_galaxy83.jpg
165.44979116643,9.89733718604962,19.14318,17.84889,17.21931,16.89988,16.67891,0.02720441,data/sdss\SDSS_galaxy84.jpg
141.852300248119,1.76311457561544,20.21655,18.51996,17.56343,16.93854,16.52971,0.146864,data/sdss\SDSS_galaxy85.jpg
191.188722857593,-1.59681777169125,21.21095,19.19754,17.83277,17.27781,16.83259,0.2163219,data/sdss\SDSS_galaxy86.jpg
232.650484297636,36.9121094965015,20.32853,18.39444,17.36152,16.9003,16.56436,0.1548135,data/sdss\SDSS_galaxy87.jpg
